air_temperature,radiant_temperature,relative_humidity,air_velocity,outdoor_temperature,clo_value,met_rate,comfort_label
23.3,23.588571428571427,38.0,0.22,13.995833333333334,0.74,1.2201365187713311,too_warm
23.3,23.588571428571427,38.0,0.22,13.995833333333334,0.82,1.4032423208191125,comfortable
23.5,23.88142857142857,36.0,0.1,13.995833333333334,1.07,1.1732081911262802,too_warm
23.5,23.88142857142857,36.0,0.1,13.995833333333334,0.96,1.2436860068259386,comfortable
23.5,23.88142857142857,36.0,0.1,13.995833333333334,0.71,1.7926621160409557,too_warm
23.6,23.739999999999995,36.0,0.26,13.995833333333334,0.6699999999999999,1.0238907849829348,comfortable
20.5,21.232857142857146,41.0,0.18,13.995833333333334,0.57,1.2201365187713311,comfortable
20.5,21.232857142857146,41.0,0.18,13.995833333333334,0.73,1.1569965870307166,comfortable
21.3,21.88142857142857,39.0,0.19,13.995833333333334,0.61,1.276621160409556,comfortable
23.27333333333332,23.22755842654648,40.54886450145097,0.0716666666666666,-0.5833333333333334,0.5907600000000001,1.0,comfortable
23.079999999999995,23.11736935127052,38.04643751326787,0.0646666666666666,-0.5833333333333334,0.5907600000000001,1.0,too_warm
22.81,22.88079005318904,37.682440525826856,0.067,-0.5833333333333334,1.12476,1.0,comfortable
22.823333333333323,22.91605774974058,35.90293526445099,0.0726666666666666,-0.5833333333333334,1.12476,1.2,comfortable
22.88333333333333,22.878230951816832,37.2848380651207,0.0846666666666666,-0.5833333333333334,0.95172,1.0,comfortable
22.78,22.834940128267974,36.064359280342345,0.0636666666666666,-0.5833333333333334,0.95172,1.0,comfortable
22.89333333333332,22.96907352742009,37.28778086258201,0.0996666666666666,-0.5833333333333334,0.7045199999999997,1.2,comfortable
22.94666666666667,22.875702826940177,40.44438303127309,0.0573333333333333,-0.5833333333333334,0.6235799999999999,1.0,comfortable
22.846666666666668,22.926445903188984,37.59876643685549,0.0603333333333333,-0.5833333333333334,0.6235799999999999,1.0,comfortable
23.046666666666663,23.11667512479959,38.3841553623033,0.067,-0.5833333333333334,0.76632,1.2,comfortable
23.003333333333323,23.07629494963819,38.59004606486163,0.1253333333333333,-0.5833333333333334,0.77868,1.0,comfortable
22.8,22.915925191809457,36.30921309615694,0.058,-0.5833333333333334,0.7415999999999998,1.0,comfortable
23.403333333333325,23.45509777163652,37.28478109709715,0.134,-0.5833333333333334,0.8281200000000002,1.0,comfortable
22.96333333333332,23.09797769289975,36.95236190969481,0.0899999999999999,-0.5833333333333334,1.03824,1.2,too_warm
22.866666666666664,22.84035701802172,39.84876962809162,0.0646666666666666,-0.5833333333333334,0.70016,1.0,comfortable
22.513333333333325,22.7353096528307,36.89585121873491,0.056,-0.5833333333333334,0.70016,1.0,comfortable
23.79333333333332,23.80471080418912,40.26398460473185,0.0806666666666666,-0.5833333333333334,0.5314799999999998,1.2,comfortable
23.71,23.82950396218316,38.56990734117853,0.065,-0.5833333333333334,0.5314799999999998,1.0,comfortable
23.863333333333323,23.98347802918202,40.52929201399715,0.0943333333333333,-0.5833333333333334,0.6235799999999999,1.0,comfortable
23.77,23.820978081943416,37.75856859067476,0.1029999999999999,-0.5833333333333334,0.6454599999999999,1.0,comfortable
23.41,23.42234952552395,39.80956866285664,0.0726666666666666,-0.5833333333333334,0.70016,1.0,too_warm
23.469999999999995,23.515986140492625,38.18686210088505,0.086,-0.5833333333333334,0.70016,1.0,too_warm
23.393333333333324,23.38414041611601,37.94849877107106,0.1083333333333333,1.6208333333333331,0.5907600000000001,1.0,comfortable
23.52,23.45073638306212,37.68525054554125,0.089,1.6208333333333331,0.5907600000000001,1.3999999999999997,comfortable
23.026666666666667,23.04870038292031,36.810931113430726,0.1526666666666666,1.6208333333333331,0.7045199999999997,1.0,comfortable
22.13666666666667,22.41457816181966,33.93502597342986,0.102,1.6208333333333331,0.7045199999999997,1.3999999999999997,comfortable
22.95,23.05879314362236,37.00756550047331,0.086,1.6208333333333331,0.618,1.0,comfortable
22.72666666666667,22.79455691275093,35.22395114975851,0.0739999999999999,1.6208333333333331,0.618,1.2,comfortable
23.04,23.042510252911743,36.88217681018658,0.0893333333333333,1.6208333333333331,0.8899199999999998,1.0,comfortable
22.63666666666667,22.72070396286616,35.00818115209088,0.066,1.6208333333333331,0.8899199999999998,1.0,too_warm
22.903333333333325,23.02897997036425,36.96003220687002,0.0833333333333333,1.6208333333333331,0.97644,1.2,comfortable
22.47333333333332,22.58555229142885,34.782116095169435,0.0743333333333333,1.6208333333333331,0.97644,1.0,comfortable
23.416666666666668,23.45571044237048,39.28462532083931,0.086,1.6208333333333331,0.6235799999999999,1.0,comfortable
23.47333333333332,23.50453990807034,37.946138215908775,0.061,1.6208333333333331,0.6235799999999999,1.2,comfortable
23.013333333333325,23.091082869691604,36.967075566947976,0.057,1.6208333333333331,0.6427200000000002,1.3999999999999997,too_warm
23.16,23.181854262005125,36.74099191769587,0.0876666666666666,1.6208333333333331,0.7045199999999997,1.2,comfortable
22.7,22.78378764273912,36.05071087215228,0.1043333333333333,1.6208333333333331,0.9888,1.0,comfortable
23.02,23.12201403602525,36.00124446052462,0.0613333333333333,1.6208333333333331,0.95172,1.0,comfortable
23.096666666666664,23.206704836197066,36.4548547648108,0.0666666666666666,1.6208333333333331,0.95172,1.0,too_warm
